{'id': 'AVD-2021-25745', '漏洞名称': 'Linux ingress-nginx 安全漏洞（CVE-2021-25745）', '漏洞类型': '未定义', '披露时间': '2022-04-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-25746', '漏洞名称': 'Linux ingress-nginx 安全漏洞（CVE-2021-25746）', '漏洞类型': '未定义', '披露时间': '2022-04-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-21956', '漏洞名称': 'cloudlinux imunify360 可信数据的反序列化', '漏洞类型': 'CWE-502', '披露时间': '2022-04-15', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-1280', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2022-04-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-29156', '漏洞名称': 'linux linux_kernel 双重释放', '漏洞类型': 'CWE-415', '披露时间': '2022-04-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0850', '漏洞名称': 'Linux Kernel 安全漏洞（CVE-2022-0850）', '漏洞类型': '未定义', '披露时间': '2022-04-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-28893', '漏洞名称': 'Linux kernel 安全漏洞（CVE-2022-28893）', '漏洞类型': 'CWE-416', '披露时间': '2022-04-12', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-28796', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2022-04-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-28356', '漏洞名称': 'Linux kernel 安全漏洞（CVE-2022-28356）', '漏洞类型': '未定义', '披露时间': '2022-04-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-28388', '漏洞名称': 'linux linux_kernel 双重释放', '漏洞类型': 'CWE-415', '披露时间': '2022-04-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-28389', '漏洞名称': 'linux linux_kernel 双重释放', '漏洞类型': 'CWE-415', '披露时间': '2022-04-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-28390', '漏洞名称': 'linux linux_kernel 双重释放', '漏洞类型': 'CWE-415', '披露时间': '2022-04-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-3847', '漏洞名称': 'Linux kernel 安全漏洞（CVE-2021-3847）', '漏洞类型': 'CWE-281', '披露时间': '2022-04-02', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0998', '漏洞名称': 'linux linux_kernel 整数溢出或超界折返', '漏洞类型': 'CWE-190', '披露时间': '2022-03-31', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-35501', '漏洞名称': 'linux linux_kernel 授权机制不正确', '漏洞类型': 'CWE-863', '披露时间': '2022-03-31', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-1016', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2022-03-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-1015', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2022-03-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-1055', '漏洞名称': 'Linux Kernel tc_new_tfilter use after free', '漏洞类型': 'CWE-416', '披露时间': '2022-03-29', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-27950', '漏洞名称': 'linux linux_kernel 在移除最后引用时对内存的释放不恰当（内存泄露）', '漏洞类型': 'CWE-401', '披露时间': '2022-03-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0500', '漏洞名称': 'Linux kernel安全漏洞（CVE-2022-0500）', '漏洞类型': 'CWE-119', '披露时间': '2022-03-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0494', '漏洞名称': 'linux linux_kernel 信息暴露', '漏洞类型': 'CWE-200', '披露时间': '2022-03-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4157', '漏洞名称': 'linux linux_kernel 内存缓冲区边界内操作的限制不恰当', '漏洞类型': 'CWE-119', '披露时间': '2022-03-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4202', '漏洞名称': 'linux linux_kernel 使用共享资源的并发执行不恰当同步问题（竞争条件）', '漏洞类型': 'CWE-362', '披露时间': '2022-03-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4203', '漏洞名称': 'linux linux_kernel 使用共享资源的并发执行不恰当同步问题（竞争条件）', '漏洞类型': 'CWE-362', '披露时间': '2022-03-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-0995', '漏洞名称': 'linux linux_kernel 跨界内存写', '漏洞类型': 'CWE-787', '披露时间': '2022-03-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2022-24777', '漏洞名称': 'linuxfoundation grpc_swift 可达断言', '漏洞类型': 'CWE-617', '披露时间': '2022-03-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4150', '漏洞名称': 'linux linux_kernel 释放后使用', '漏洞类型': 'CWE-416', '披露时间': '2022-03-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-4197', '漏洞名称': 'Linux kernel 授权问题漏洞（CVE-2021-4197）', '漏洞类型': 'CWE-287', '披露时间': '2022-03-24', '漏洞状态': 'CVE'}
